comp_id,title
170122,Delmon Solutions
170167,Vivo Smartphone
170622,Medgenome Labs
170820,aabasoft solutions
170861,Vidya Vardhaka College
171864,Gopal Group of Industries
172348,Hughes Net Global Education
173243,Pinnacle Capital Solutions
173354,PC Jeweller
173359,CHC Healthcare
173800,Cosmosoft Technologies
175102,Reliance Trends
175131,Rigved
175571,Expert Global Solutions
176058,Wabtec
177414,National Contracting Company
177625,Zamil Air Conditioners
178663,ABV Rock Group
180424,Mainetti
180452,Cadfem Engineering Services
180691,YOU Broadband & Cable
183442,Rohan Motors
183922,Heidelbergcement India
186727,Vijay Raja Homes
187368,Indian market view
188149,Vara United
189204,Balasore Alloys Limited
189685,Gemini Edibles & Fats India
189727,Lumax Automotive Systems
189769,TTK Healthcare
190463,Continental Engines
194438,Kansas Overseas Careers
196528,Macawber Beekay
198435,Stonehill International School
198577,NCS SoftSolutions
198616,Zircon Technologies India Limited
199210,BridgeLabz Solutions
200310,Carpathy
200649,Efficiency Leaders
200670,Arvind Group
200678,Bajaj
200728,Sears Holdings
200738,Paper boat
200792,L&T Construction
200807,Virtuoso Recruitment Solutions
200860,Dell EMC
200861,Bajaj Finserv
200875,HDFC Life Insurance
200911,Intelenet Global Services
200919,IndiGo Airline
200931,Lenskart
200940,Future Retail
200943,Titan Company
200954,Bharat Financial Inclusion
200976,New Marhaba Travels
201010,WNS Global Services
201055,British Telecom
201060,LiveHealth
201070,IDFC Bank
201080,Zoho Corporation
201089,Deloitte Touche Tohmatsu India LLP
